;MElettori Residenti ;F Elettori Residenti;T Elettori Residenti;M Elettori A.I.R.E.;F Elettori A.I.R.E.;T Elettori A.I.R.E.;M Elettori;F Elettori;T Elettori
1;298;334;632;48;54;102;346;388;734
2;301;338;639;70;57;127;371;395;766
3;300;340;640;33;35;68;333;375;708
4;381;403;784;59;53;112;440;456;896
5;287;321;608;140;109;249;427;430;857
6;316;314;630;167;121;288;483;435;918
7;294;304;598;245;225;470;539;529;1068
8;261;264;525;164;145;309;425;409;834
9;317;320;637;67;66;133;384;386;770
10;141;132;273;19;12;31;160;144;304
Totali;2896;3070;5966;1012;877;1889;3908;3947;7855
